watchdog_at=2026-07-16T02:17:07Z
cat: /sys/kernel/debug/zcnblk/state: Permission denied
      68       28
    PID     TID PSR STAT COMMAND         WCHAN
    297     297  46 I    kworker/46:0-mm -
    298     298  46 I<   kworker/46:0H-e -
    299     299  47 S    cpuhp/47        -
    300     300  47 S    idle_inject/47  -
    301     301  47 S    migration/47    -
    302     302  47 S    ksoftirqd/47    -
    303     303  47 I    kworker/47:0-mm -
    304     304  47 I<   kworker/47:0H-e -
    305     305  48 S    cpuhp/48        -
    306     306  48 S    idle_inject/48  -
    307     307  48 S    migration/48    -
    308     308  48 S    ksoftirqd/48    -
    309     309  48 I    kworker/48:0-mm -
    310     310  48 I<   kworker/48:0H-e -
    311     311  49 S    rcu_exp_par_gp_ -
    312     312  49 S    cpuhp/49        -
    313     313  49 S    idle_inject/49  -
    314     314  49 S    migration/49    -
    315     315  49 S    ksoftirqd/49    -
    316     316  49 I    kworker/49:0-mm -
    317     317  49 I<   kworker/49:0H-e -
    318     318  50 S    cpuhp/50        -
    319     319  50 S    idle_inject/50  -
    320     320  50 S    migration/50    -
    321     321  50 S    ksoftirqd/50    -
    322     322  50 I    kworker/50:0-mm -
    323     323  50 I<   kworker/50:0H-e -
    324     324  51 S    cpuhp/51        -
    325     325  51 S    idle_inject/51  -
    326     326  51 S    migration/51    -
    327     327  51 S    ksoftirqd/51    -
    328     328  51 I    kworker/51:0-mm -
    329     329  51 I<   kworker/51:0H-e -
    330     330  52 S    cpuhp/52        -
    331     331  52 S    idle_inject/52  -
    332     332  52 S    migration/52    -
    333     333  52 S    ksoftirqd/52    -
    334     334  52 I    kworker/52:0-mm -
    335     335  52 I<   kworker/52:0H-e -
    336     336  53 S    cpuhp/53        -
    337     337  53 S    idle_inject/53  -
    338     338  53 S    migration/53    -
    339     339  53 S    ksoftirqd/53    -
    340     340  53 I    kworker/53:0-cg -
    341     341  53 I<   kworker/53:0H-e -
    342     342  54 S    cpuhp/54        -
    343     343  54 S    idle_inject/54  -
    344     344  54 S    migration/54    -
    345     345  54 S    ksoftirqd/54    -
    346     346  54 I    kworker/54:0-mm -
    347     347  54 I<   kworker/54:0H-e -
    348     348  55 S    cpuhp/55        -
    349     349  55 S    idle_inject/55  -
    350     350  55 S    migration/55    -
    351     351  55 S    ksoftirqd/55    -
    353     353  55 I<   kworker/55:0H-e -
    354     354  56 S    cpuhp/56        -
    355     355  56 S    idle_inject/56  -
    356     356  56 S    migration/56    -
    357     357  56 S    ksoftirqd/56    -
    358     358  56 I    kworker/56:0-mm -
    359     359  56 I<   kworker/56:0H-e -
    360     360  57 S    cpuhp/57        -
    361     361  57 S    idle_inject/57  -
    362     362  57 S    migration/57    -
    363     363  57 S    ksoftirqd/57    -
    364     364  57 I    kworker/57:0-mm -
    365     365  57 I<   kworker/57:0H-e -
    366     366  58 S    cpuhp/58        -
    367     367  58 S    idle_inject/58  -
    368     368  58 S    migration/58    -
    369     369  58 S    ksoftirqd/58    -
    370     370  58 I    kworker/58:0-mm -
    371     371  58 I<   kworker/58:0H-e -
    372     372  59 S    cpuhp/59        -
    373     373  59 S    idle_inject/59  -
    374     374  59 S    migration/59    -
    375     375  59 S    ksoftirqd/59    -
    376     376  59 I    kworker/59:0-mm -
    377     377  59 I<   kworker/59:0H-e -
    378     378  60 S    cpuhp/60        -
    379     379  60 S    idle_inject/60  -
    380     380  60 S    migration/60    -
    381     381  60 S    ksoftirqd/60    -
    382     382  60 I    kworker/60:0-mm -
    383     383  60 I<   kworker/60:0H-e -
    384     384  61 S    cpuhp/61        -
    385     385  61 S    idle_inject/61  -
    386     386  61 S    migration/61    -
    387     387  61 S    ksoftirqd/61    -
    388     388  61 I    kworker/61:0-mm -
    389     389  61 I<   kworker/61:0H-e -
    390     390  62 S    cpuhp/62        -
    391     391  62 S    idle_inject/62  -
    392     392  62 S    migration/62    -
    393     393  62 S    ksoftirqd/62    -
    394     394  62 I    kworker/62:0-mm -
    395     395  62 I<   kworker/62:0H-e -
    396     396  63 S    cpuhp/63        -
    397     397  63 S    idle_inject/63  -
    398     398  63 S    migration/63    -
    399     399  63 S    ksoftirqd/63    -
    400     400  63 I    kworker/63:0-mm -
    401     401  63 I<   kworker/63:0H-e -
    402     402  64 S    cpuhp/64        -
    403     403  64 S    idle_inject/64  -
    404     404  64 S    migration/64    -
    405     405  64 S    ksoftirqd/64    -
    406     406  64 I    kworker/64:0-mm -
    407     407  64 I<   kworker/64:0H-e -
    408     408  64 S    rcu_exp_par_gp_ -
    409     409  65 S    cpuhp/65        -
    410     410  65 S    idle_inject/65  -
    411     411  65 S    migration/65    -
    412     412  65 S    ksoftirqd/65    -
    413     413  65 I    kworker/65:0-mm -
    414     414  65 I<   kworker/65:0H-e -
    415     415  66 S    cpuhp/66        -
    416     416  66 S    idle_inject/66  -
    417     417  66 S    migration/66    -
    418     418  66 S    ksoftirqd/66    -
    419     419  66 I    kworker/66:0-mm -
    420     420  66 I<   kworker/66:0H-e -
    421     421  67 S    cpuhp/67        -
    422     422  67 S    idle_inject/67  -
    423     423  67 S    migration/67    -
    424     424  67 S    ksoftirqd/67    -
    425     425  67 I    kworker/67:0-mm -
    426     426  67 I<   kworker/67:0H-e -
    427     427  68 S    cpuhp/68        -
    428     428  68 S    idle_inject/68  -
    429     429  68 S    migration/68    -
    430     430  68 S    ksoftirqd/68    -
    431     431  68 I    kworker/68:0-cg -
    432     432  68 I<   kworker/68:0H-e -
    433     433  69 S    cpuhp/69        -
    434     434  69 S    idle_inject/69  -
    435     435  69 S    migration/69    -
    436     436  69 S    ksoftirqd/69    -
    437     437  69 I    kworker/69:0-mm -
    438     438  69 I<   kworker/69:0H-e -
    439     439  70 S    cpuhp/70        -
    440     440  70 S    idle_inject/70  -
    441     441  70 S    migration/70    -
    442     442  70 S    ksoftirqd/70    -
    443     443  70 I    kworker/70:0-cg -
    444     444  70 I<   kworker/70:0H-e -
    445     445  71 S    cpuhp/71        -
    446     446  71 S    idle_inject/71  -
    447     447  71 S    migration/71    -
    448     448  71 S    ksoftirqd/71    -
    449     449  71 I    kworker/71:0-cg -
    450     450  71 I<   kworker/71:0H-e -
    451     451  72 S    cpuhp/72        -
    452     452  72 S    idle_inject/72  -
    453     453  72 S    migration/72    -
    454     454  72 S    ksoftirqd/72    -
    455     455  72 I    kworker/72:0-mm -
    456     456  72 I<   kworker/72:0H-e -
    457     457  73 S    cpuhp/73        -
    458     458  73 S    idle_inject/73  -
    459     459  73 S    migration/73    -
    460     460  73 S    ksoftirqd/73    -
    461     461  73 I    kworker/73:0-mm -
    462     462  73 I<   kworker/73:0H-e -
    463     463  74 S    cpuhp/74        -
    464     464  74 S    idle_inject/74  -
    465     465  74 S    migration/74    -
    466     466  74 S    ksoftirqd/74    -
    467     467  74 I    kworker/74:0-mm -
    468     468  74 I<   kworker/74:0H-e -
    469     469  75 S    cpuhp/75        -
    470     470  75 S    idle_inject/75  -
    471     471  75 S    migration/75    -
    472     472  75 S    ksoftirqd/75    -
    473     473  75 I    kworker/75:0-mm -
    474     474  75 I<   kworker/75:0H-e -
    475     475  76 S    cpuhp/76        -
    476     476  76 S    idle_inject/76  -
    477     477  76 S    migration/76    -
    478     478  76 S    ksoftirqd/76    -
    479     479  76 I    kworker/76:0-mm -
    480     480  76 I<   kworker/76:0H-e -
    481     481  77 S    cpuhp/77        -
    482     482  77 S    idle_inject/77  -
    483     483  77 S    migration/77    -
    484     484  77 S    ksoftirqd/77    -
    485     485  77 I    kworker/77:0-mm -
    486     486  77 I<   kworker/77:0H-e -
    487     487  78 S    cpuhp/78        -
    488     488  78 S    idle_inject/78  -
    489     489  78 S    migration/78    -
    490     490  78 S    ksoftirqd/78    -
    491     491  78 I    kworker/78:0-mm -
    492     492  78 I<   kworker/78:0H-e -
    493     493  79 S    cpuhp/79        -
    494     494  79 S    idle_inject/79  -
    495     495  79 S    migration/79    -
    496     496  79 S    ksoftirqd/79    -
    497     497  79 I    kworker/79:0-mm -
    498     498  79 I<   kworker/79:0H-e -
    499     499  80 S    cpuhp/80        -
    500     500  80 S    idle_inject/80  -
    501     501  80 S    migration/80    -
    502     502  80 S    ksoftirqd/80    -
    503     503  80 I    kworker/80:0-mm -
    504     504  80 I<   kworker/80:0H-e -
    505     505  80 S    rcu_exp_par_gp_ -
    506     506  81 S    cpuhp/81        -
    507     507  81 S    idle_inject/81  -
    508     508  81 S    migration/81    -
    509     509  81 S    ksoftirqd/81    -
    510     510  81 I    kworker/81:0-mm -
    511     511  81 I<   kworker/81:0H-e -
    512     512  82 S    cpuhp/82        -
    513     513  82 S    idle_inject/82  -
    514     514  82 S    migration/82    -
    515     515  82 S    ksoftirqd/82    -
    516     516  82 I    kworker/82:0-mm -
    517     517  82 I<   kworker/82:0H-e -
    518     518  83 S    cpuhp/83        -
    519     519  83 S    idle_inject/83  -
    520     520  83 S    migration/83    -
    521     521  83 S    ksoftirqd/83    -
    522     522  83 I    kworker/83:0-mm -
    523     523  83 I<   kworker/83:0H-e -
    524     524  84 S    cpuhp/84        -
    525     525  84 S    idle_inject/84  -
    526     526  84 S    migration/84    -
    527     527  84 S    ksoftirqd/84    -
    528     528  84 I    kworker/84:0-mm -
    529     529  84 I<   kworker/84:0H-e -
    530     530  85 S    cpuhp/85        -
    531     531  85 S    idle_inject/85  -
    532     532  85 S    migration/85    -
    533     533  85 S    ksoftirqd/85    -
    534     534  85 I    kworker/85:0-mm -
    535     535  85 I<   kworker/85:0H-e -
    536     536  86 S    cpuhp/86        -
    537     537  86 S    idle_inject/86  -
    538     538  86 S    migration/86    -
    539     539  86 S    ksoftirqd/86    -
    541     541  86 I<   kworker/86:0H-e -
    542     542  87 S    cpuhp/87        -
    543     543  87 S    idle_inject/87  -
    544     544  87 S    migration/87    -
    545     545  87 S    ksoftirqd/87    -
    546     546  87 I    kworker/87:0-mm -
    547     547  87 I<   kworker/87:0H-e -
    548     548  88 S    cpuhp/88        -
    549     549  88 S    idle_inject/88  -
    550     550  88 S    migration/88    -
    551     551  88 S    ksoftirqd/88    -
    552     552  88 I    kworker/88:0-mm -
    553     553  88 I<   kworker/88:0H-e -
    554     554  89 S    cpuhp/89        -
    555     555  89 S    idle_inject/89  -
    556     556  89 S    migration/89    -
    557     557  89 S    ksoftirqd/89    -
    558     558  89 I    kworker/89:0-mm -
    559     559  89 I<   kworker/89:0H-e -
    560     560  90 S    cpuhp/90        -
    561     561  90 S    idle_inject/90  -
    562     562  90 S    migration/90    -
    563     563  90 S    ksoftirqd/90    -
    564     564  90 I    kworker/90:0-mm -
    565     565  90 I<   kworker/90:0H-e -
    566     566  91 S    cpuhp/91        -
    567     567  91 S    idle_inject/91  -
    568     568  91 S    migration/91    -
    569     569  91 S    ksoftirqd/91    -
    570     570  91 I    kworker/91:0-mm -
    571     571  91 I<   kworker/91:0H-e -
    572     572  92 S    cpuhp/92        -
    573     573  92 S    idle_inject/92  -
    574     574  92 S    migration/92    -
    575     575  92 S    ksoftirqd/92    -
    576     576  92 I    kworker/92:0-mm -
    577     577  92 I<   kworker/92:0H-e -
    578     578  93 S    cpuhp/93        -
    579     579  93 S    idle_inject/93  -
    580     580  93 S    migration/93    -
    581     581  93 S    ksoftirqd/93    -
    582     582  93 I    kworker/93:0-mm -
    583     583  93 I<   kworker/93:0H-e -
    584     584  94 S    cpuhp/94        -
    585     585  94 S    idle_inject/94  -
    586     586  94 S    migration/94    -
    587     587  94 S    ksoftirqd/94    -
    589     589  94 I<   kworker/94:0H-e -
    590     590  95 S    cpuhp/95        -
    591     591  95 S    idle_inject/95  -
    592     592  95 S    migration/95    -
    593     593  95 S    ksoftirqd/95    -
    594     594  95 I    kworker/95:0-cg -
    595     595  95 I<   kworker/95:0H-e -
    596     596  96 S    cpuhp/96        -
    597     597  96 S    idle_inject/96  -
    598     598  96 S    migration/96    -
    599     599  96 S    ksoftirqd/96    -
    600     600  96 I    kworker/96:0-ev -
    601     601  96 I<   kworker/96:0H-k -
    602     602 109 S    rcu_exp_par_gp_ -
    603     603  97 S    cpuhp/97        -
    604     604  97 S    idle_inject/97  -
    605     605  97 S    migration/97    -
    606     606  97 S    ksoftirqd/97    -
    607     607  97 I    kworker/97:0-mm -
    608     608  97 I<   kworker/97:0H-e -
    609     609  98 S    cpuhp/98        -
    610     610  98 S    idle_inject/98  -
    611     611  98 S    migration/98    -
    612     612  98 S    ksoftirqd/98    -
    614     614  98 I<   kworker/98:0H-e -
    615     615  99 S    cpuhp/99        -
    616     616  99 S    idle_inject/99  -
    617     617  99 S    migration/99    -
    618     618  99 S    ksoftirqd/99    -
    619     619  99 I    kworker/99:0-mm -
    620     620  99 I<   kworker/99:0H-e -
    621     621 100 S    cpuhp/100       -
    622     622 100 S    idle_inject/100 -
    623     623 100 S    migration/100   -
    624     624 100 S    ksoftirqd/100   -
    625     625 100 I    kworker/100:0-m -
    626     626 100 I<   kworker/100:0H- -
    627     627 101 S    cpuhp/101       -
    628     628 101 S    idle_inject/101 -
    629     629 101 S    migration/101   -
    630     630 101 S    ksoftirqd/101   -
    631     631 101 I    kworker/101:0-m -
    632     632 101 I<   kworker/101:0H- -
    633     633 102 S    cpuhp/102       -
    634     634 102 S    idle_inject/102 -
    635     635 102 R    migration/102   -
    636     636 102 S    ksoftirqd/102   -
    637     637 102 I    kworker/102:0-m -
    638     638 102 I<   kworker/102:0H- -
    639     639 103 S    cpuhp/103       -
    640     640 103 S    idle_inject/103 -
    641     641 103 S    migration/103   -
    642     642 103 S    ksoftirqd/103   -
    644     644 103 I<   kworker/103:0H- -
    645     645 104 S    cpuhp/104       -
    646     646 104 S    idle_inject/104 -
    647     647 104 S    migration/104   -
    648     648 104 S    ksoftirqd/104   -
    649     649 104 I    kworker/104:0-m -
    650     650 104 I<   kworker/104:0H- -
    651     651 105 S    cpuhp/105       -
    652     652 105 S    idle_inject/105 -
    653     653 105 S    migration/105   -
    654     654 105 S    ksoftirqd/105   -
    655     655 105 I    kworker/105:0-m -
    656     656 105 I<   kworker/105:0H- -
    657     657 106 S    cpuhp/106       -
    658     658 106 S    idle_inject/106 -
    659     659 106 S    migration/106   -
    660     660 106 S    ksoftirqd/106   -
    661     661 106 I    kworker/106:0-m -
    662     662 106 I<   kworker/106:0H- -
    663     663 107 S    cpuhp/107       -
    664     664 107 S    idle_inject/107 -
    665     665 107 S    migration/107   -
    666     666 107 S    ksoftirqd/107   -
    667     667 107 I    kworker/107:0-m -
    668     668 107 I<   kworker/107:0H- -
    669     669 108 S    cpuhp/108       -
    670     670 108 S    idle_inject/108 -
    671     671 108 S    migration/108   -
    672     672 108 S    ksoftirqd/108   -
    673     673 108 I    kworker/108:0-m -
    674     674 108 I<   kworker/108:0H- -
    675     675 109 S    cpuhp/109       -
    676     676 109 S    idle_inject/109 -
    677     677 109 S    migration/109   -
    678     678 109 S    ksoftirqd/109   -
    679     679 109 I    kworker/109:0-m -
    680     680 109 I<   kworker/109:0H- -
    681     681 110 S    cpuhp/110       -
    682     682 110 S    idle_inject/110 -
    683     683 110 S    migration/110   -
    684     684 110 S    ksoftirqd/110   -
    685     685 110 I    kworker/110:0-m -
    686     686 110 I<   kworker/110:0H- -
    687     687 111 S    cpuhp/111       -
    688     688 111 S    idle_inject/111 -
    689     689 111 S    migration/111   -
    690     690 111 S    ksoftirqd/111   -
    691     691 111 I    kworker/111:0-m -
    692     692 111 I<   kworker/111:0H- -
    693     693 112 S    cpuhp/112       -
    694     694 112 S    idle_inject/112 -
    695     695 112 S    migration/112   -
    696     696 112 S    ksoftirqd/112   -
    697     697 112 I    kworker/112:0-m -
    698     698 112 I<   kworker/112:0H- -
    699     699 126 S    rcu_exp_par_gp_ -
    700     700 113 S    cpuhp/113       -
    701     701 113 S    idle_inject/113 -
    702     702 113 S    migration/113   -
    703     703 113 S    ksoftirqd/113   -
    704     704 113 I    kworker/113:0-m -
    705     705 113 I<   kworker/113:0H- -
    706     706 114 S    cpuhp/114       -
    707     707 114 S    idle_inject/114 -
    708     708 114 S    migration/114   -
    709     709 114 S    ksoftirqd/114   -
    710     710 114 I    kworker/114:0-m -
    711     711 114 I<   kworker/114:0H- -
    712     712 115 S    cpuhp/115       -
    713     713 115 S    idle_inject/115 -
    714     714 115 S    migration/115   -
    715     715 115 S    ksoftirqd/115   -
    716     716 115 I    kworker/115:0-m -
